QuestionID,カテゴリ番号,属性ペア,うわさの内容,interest_データ数,interest_平均値,interest_SD,AOI_データ数,AOI_平均値,AOI_SD,privacy_データ数,privacy_平均値,privacy_SD,polarity_データ数,polarity_平均値,polarity_SD
25.0,29,M2-F2,Aさんはピアノを弾くのが苦手,12,2.5833333333333335,1.2401124093721456,12,2.5,1.7320508075688772,12,4.083333333333333,1.880924981991251,12,2.5,0.7977240352174656
25.0,29,M3-F3,Aさんはピアノを弾くのが苦手,12,2.8333333333333335,1.0298573010888745,12,2.0,0.9534625892455924,12,3.4166666666666665,1.3113721705515067,12,2.0833333333333335,0.5149286505444374
25.0,29,M4-F4,Aさんはピアノを弾くのが苦手,12,3.1666666666666665,1.2673044646258476,12,2.5833333333333335,1.164500152881315,12,3.9166666666666665,1.378954368902449,12,2.8333333333333335,0.7177405625652734
25.0,30,M1-F1,Aさんは本を読みかけで放置している,12,3.4166666666666665,1.6764862244009227,12,2.1666666666666665,1.0298573010888745,12,4.333333333333333,1.969463855669324,12,3.1666666666666665,0.5773502691896257
25.0,30,M2-F2,Aさんは本を読みかけで放置している,12,1.9166666666666667,0.90033663737852,12,2.0,0.8528028654224418,12,3.4166666666666665,1.5642792899510296,12,3.0,0.6030226891555273
25.0,30,M3-F3,Aさんは本を読みかけで放置している,12,2.4166666666666665,1.3113721705515065,12,2.4166666666666665,1.0836246694508318,12,3.9166666666666665,1.6764862244009222,12,2.8333333333333335,0.7177405625652734
25.0,30,M4-F4,Aさんは本を読みかけで放置している,12,2.75,1.0552897060221726,12,2.1666666666666665,1.1146408580454255,12,3.25,1.2154310870109943,12,3.0833333333333335,0.6685579234215215
25.0,31,M1-F1,Aさんは海外旅行に行きたい,12,4.833333333333333,0.9374368665610919,12,2.5,0.674199862463242,12,3.1666666666666665,1.9462473604038075,12,5.416666666666667,0.792961461098759
25.0,31,M2-F2,Aさんは海外旅行に行きたい,12,4.25,1.6583123951777,12,1.4166666666666667,0.5149286505444373,12,2.5833333333333335,1.97522534195852,12,5.75,0.9653072991634227
25.0,31,M3-F3,Aさんは海外旅行に行きたい,12,4.75,1.3568010505999362,12,1.8333333333333333,0.834847109936722,12,2.0833333333333335,0.6685579234215215,12,5.666666666666667,0.8876253645985944
